id,name,party,partyLabel,votes,election,electionLabel,ranking
Q4992676,Martina Anderson,Q76382,Sinn Féin,,Q22001091,2019 European Parliament election,1
Q116719,Diane Dodds,Q215519,Democratic Unionist Party,,Q22001091,2019 European Parliament election,2
Q695272,Naomi Long,Q244927,Alliance Party of Northern Ireland,,Q22001091,2019 European Parliament election,3
Q5149523,Colum Eastwood,Q175443,Social Democratic and Labour Party,,Q22001091,2019 European Parliament election,4
Q3499853,Jim Allister,Q985076,Traditional Unionist Voice,,Q22001091,2019 European Parliament election,5
Q5220512,Danny Kennedy,Q841045,Ulster Unionist Party,,Q22001091,2019 European Parliament election,6
Q24052779,Clare Bailey,Q1096979,Green Party in Northern Ireland,,Q22001091,2019 European Parliament election,7
,Robert Hill,Q10647,UK Independence Party,,Q22001091,2019 European Parliament election,8
Q6152576,Jane Morrice,Q327591,Independent politician,,Q22001091,2019 European Parliament election,9
,Neil McCann,Q327591,Independent politician,,Q22001091,2019 European Parliament election,10
,Amandeep Singh Bhogal,Q7058484,Northern Ireland Conservatives,,Q22001091,2019 European Parliament election,11
Q4992676,Martina Anderson,Q76382,Sinn Féin,,Q5412950,2014 European Parliament election,1
Q116719,Diane Dodds,Q215519,Democratic Unionist Party,,Q5412950,2014 European Parliament election,2
Q333729,Jim Nicholson,Q841045,Ulster Unionist Party,,Q5412950,2014 European Parliament election,3
Q4716637,Alex Attwood,Q175443,Social Democratic and Labour Party,,Q5412950,2014 European Parliament election,4
Q3499853,Jim Allister,Q985076,Traditional Unionist Voice,,Q5412950,2014 European Parliament election,5
Q434460,Anna Lo,Q244927,Alliance Party of Northern Ireland,,Q5412950,2014 European Parliament election,6
Q20049328,Henry Reilly,Q10647,UK Independence Party,,Q5412950,2014 European Parliament election,7
Q16979852,Ross Brown,Q1096979,Green Party in Northern Ireland,,Q5412950,2014 European Parliament election,8
Q16853395,Tina McKenzie,Q15980856,NI21,,Q5412950,2014 European Parliament election,9
,Mark Brotherston,Q7058484,Northern Ireland Conservatives,,Q5412950,2014 European Parliament election,10
Q450673,Bairbre de Brún,Q76382,Sinn Féin,,Q528608,2009 European Parliament election,1
Q116719,Diane Dodds,Q215519,Democratic Unionist Party,,Q528608,2009 European Parliament election,2
Q333729,Jim Nicholson,Q7879942,Ulster Conservatives and Unionists,,Q528608,2009 European Parliament election,3
Q4709010,Alban Maginness,Q175443,Social Democratic and Labour Party,,Q528608,2009 European Parliament election,4
Q3499853,Jim Allister,Q985076,Traditional Unionist Voice,,Q528608,2009 European Parliament election,5
Q5982550,Ian Parsley,Q244927,Alliance Party of Northern Ireland,,Q528608,2009 European Parliament election,6
Q7614439,Steven Agnew,Q1096979,Green Party in Northern Ireland,,Q528608,2009 European Parliament election,7
Q3499853,Jim Allister,Q215519,Democratic Unionist Party,,Q2704885,2004 European Parliament election,1
Q450673,Bairbre de Brún,Q76382,Sinn Féin,,Q2704885,2004 European Parliament election,2
Q333729,Jim Nicholson,Q841045,Ulster Unionist Party,,Q2704885,2004 European Parliament election,3
Q6776213,Martin Morgan,Q175443,Social Democratic and Labour Party,,Q2704885,2004 European Parliament election,4
,John Gilliland,Q327591,Independent politician,,Q2704885,2004 European Parliament election,5
Q2904605,Eamonn McCann,Q3545406,Socialist Environmental Alliance,,Q2704885,2004 European Parliament election,6
,Lindsay Whitcroft,Q1096979,Green Party in Northern Ireland,,Q2704885,2004 European Parliament election,7
Q296597,Ian Paisley,Q215519,Democratic Unionist Party,,Q2052486,1999 European Parliament election,1
Q193630,John Hume,Q175443,Social Democratic and Labour Party,,Q2052486,1999 European Parliament election,2
Q333729,Jim Nicholson,Q841045,Ulster Unionist Party,,Q2052486,1999 European Parliament election,3
Q6881061,Mitchel McLaughlin,Q76382,Sinn Féin,,Q2052486,1999 European Parliament election,4
Q241830,David Ervine,Q1817613,Progressive Unionist Party,,Q2052486,1999 European Parliament election,5
Q7347473,Robert McCartney,Q985706,UK Unionist Party,,Q2052486,1999 European Parliament election,6
Q7459580,Seán Neeson,Q244927,Alliance Party of Northern Ireland,,Q2052486,1999 European Parliament election,7
,James Anderson,Q491782,Natural Law Party,,Q2052486,1999 European Parliament election,8
Q296597,Ian Paisley,Q215519,Democratic Unionist Party,,Q2052503,1994 European Parliament election,1
Q193630,John Hume,Q175443,Social Democratic and Labour Party,,Q2052503,1994 European Parliament election,2
Q333729,Jim Nicholson,Q841045,Ulster Unionist Party,,Q2052503,1994 European Parliament election,3
Q6779223,Mary Clark-Glass,Q244927,Alliance Party of Northern Ireland,,Q2052503,1994 European Parliament election,4
Q7816115,Tom Hartley,Q76382,Sinn Féin,,Q2052503,1994 European Parliament election,5
Q5287938,Dodie McGuinness,Q76382,Sinn Féin,,Q2052503,1994 European Parliament election,6
Q5479812,Francie Molloy,Q76382,Sinn Féin,,Q2052503,1994 European Parliament election,7
Q5932534,Hugh Ross,Q7879973,Ulster Independence Movement,,Q2052503,1994 European Parliament election,8
,Myrtle Boal,Q7058484,Northern Ireland Conservatives,,Q2052503,1994 European Parliament election,9
Q6245437,John Lowry,Q1860218,Workers' Party of Ireland,,Q2052503,1994 European Parliament election,10
,Niall Cusack,Q6467508,Labour Party of Northern Ireland,,Q2052503,1994 European Parliament election,11
,James Anderson,Q491782,Natural Law Party,,Q2052503,1994 European Parliament election,12
,June Campion,Q327591,Independent politician,,Q2052503,1994 European Parliament election,13
Q5235962,David Kerr,Q327591,Independent politician,,Q2052503,1994 European Parliament election,14
,Susannah Thompson,Q491782,Natural Law Party,,Q2052503,1994 European Parliament election,15
,Michael Kennedy,Q491782,Natural Law Party,,Q2052503,1994 European Parliament election,16
,Robert Mooney,Q327591,Independent politician,,Q2052503,1994 European Parliament election,17
Q296597,Ian Paisley,Q215519,Democratic Unionist Party,,Q522000,1989 European Parliament election,1
Q193630,John Hume,Q175443,Social Democratic and Labour Party,,Q522000,1989 European Parliament election,2
Q333729,Jim Nicholson,Q841045,Ulster Unionist Party,,Q522000,1989 European Parliament election,3
Q1164704,Danny Morrison,Q76382,Sinn Féin,,Q522000,1989 European Parliament election,4
Q336390,John Alderdice,Q244927,Alliance Party of Northern Ireland,,Q522000,1989 European Parliament election,5
,Myrtle Boal,Q7058484,Northern Ireland Conservatives,,Q522000,1989 European Parliament election,6
,Malcolm Samuel,Q1096979,Green Party in Northern Ireland,,Q522000,1989 European Parliament election,7
Q7440757,Seamus Lynch,Q1860218,Workers' Party of Ireland,,Q522000,1989 European Parliament election,8
Q6768490,Mark Langhammer,Q9630,Labour Party (UK),,Q522000,1989 European Parliament election,9
,Brian Caul,Q6467508,Labour Party of Northern Ireland,,Q522000,1989 European Parliament election,10
Q296597,Ian Paisley,Q215519,Democratic Unionist Party,,Q2052512,1984 European Parliament election,1
Q193630,John Hume,Q175443,Social Democratic and Labour Party,,Q2052512,1984 European Parliament election,2
Q333991,John Taylor,Q841045,Ulster Unionist Party,,Q2052512,1984 European Parliament election,3
Q1164704,Danny Morrison,Q76382,Sinn Féin,,Q2052512,1984 European Parliament election,4
Q16205288,David Cook,Q244927,Alliance Party of Northern Ireland,,Q2052512,1984 European Parliament election,5
Q6137309,James Kilfedder,Q7879995,Ulster Popular Unionist Party,,Q2052512,1984 European Parliament election,6
Q7440757,Seamus Lynch,Q1860218,Workers' Party of Ireland,,Q2052512,1984 European Parliament election,7
,Colin McGuigan,Q15980875,Ecology Party,,Q2052512,1984 European Parliament election,8
Q296597,Ian Paisley,Q215519,Democratic Unionist Party,,Q1451109,1979 European Parliament election,1
Q193630,John Hume,Q175443,Social Democratic and Labour Party,,Q1451109,1979 European Parliament election,2
Q333991,John Taylor,Q841045,Ulster Unionist Party,,Q1451109,1979 European Parliament election,3
Q11682348,Harry West,Q841045,Ulster Unionist Party,,Q1451109,1979 European Parliament election,4
Q529315,Oliver Napier,Q244927,Alliance Party of Northern Ireland,,Q1451109,1979 European Parliament election,5
Q6137309,James Kilfedder,Q6017344,Independent Unionist,,Q1451109,1979 European Parliament election,6
Q2628635,Bernadette McAliskey,Q16847164,Independent Republican (Ireland),,Q1451109,1979 European Parliament election,7
Q5231474,David Bleakley,Q327591,Independent politician,,Q1451109,1979 European Parliament election,8
Q7123452,Paddy Devlin,Q7888208,United Labour Party (Northern Ireland),,Q1451109,1979 European Parliament election,9
,Eddie Cummings,Q7886826,Unionist Party of Northern Ireland,,Q1451109,1979 European Parliament election,10
,Brian Brennan,Q1860218,Republican Clubs,,Q1451109,1979 European Parliament election,11
,Francis Donnelly,Q1860218,Republican Clubs,,Q1451109,1979 European Parliament election,12
,James Murray,Q7879983,Ulster Liberal Party,,Q1451109,1979 European Parliament election,13
